timestamp,host,process,pid,message,raw,user,source_ip,template
2026-07-14 00:39:00,server1,systemd,1,Reloading system manager configuration.,Jul 14 00:39:00 server1 systemd[1]: Reloading system manager configuration.,unknown,,Reloading system manager configuration.
2026-07-14 01:15:00,server1,CRON,1982,(root) CMD (/usr/local/bin/backup-nightly.sh),Jul 14 01:15:00 server1 CRON[1982]: (root) CMD (/usr/local/bin/backup-nightly.sh),unknown,,(root) CMD (/usr/local/bin/backup-nightly.sh)
2026-07-14 01:51:00,server1,sshd,1111,Failed password for ftpuser from 203.0.113.212 port 60738 ssh2,Jul 14 01:51:00 server1 sshd[1111]: Failed password for ftpuser from 203.0.113.212 port 60738 ssh2,ftpuser,203.0.113.212,Failed password for ftpuser from <IP> port <PORT> ssh2
2026-07-14 01:51:05,server1,sshd,1119,Failed password for postgres from 203.0.113.212 port 64494 ssh2,Jul 14 01:51:05 server1 sshd[1119]: Failed password for postgres from 203.0.113.212 port 64494 ssh2,postgres,203.0.113.212,Failed password for postgres from <IP> port <PORT> ssh2
2026-07-14 01:51:08,server1,sshd,1122,Failed password for test from 203.0.113.212 port 54339 ssh2,Jul 14 01:51:08 server1 sshd[1122]: Failed password for test from 203.0.113.212 port 54339 ssh2,test,203.0.113.212,Failed password for test from <IP> port <PORT> ssh2
2026-07-14 01:51:11,server1,sshd,1131,Failed password for backup from 203.0.113.212 port 62205 ssh2,Jul 14 01:51:11 server1 sshd[1131]: Failed password for backup from 203.0.113.212 port 62205 ssh2,backup,203.0.113.212,Failed password for backup from <IP> port <PORT> ssh2
2026-07-14 01:51:17,server1,sshd,1138,Failed password for deploy from 203.0.113.212 port 54304 ssh2,Jul 14 01:51:17 server1 sshd[1138]: Failed password for deploy from 203.0.113.212 port 54304 ssh2,deploy,203.0.113.212,Failed password for deploy from <IP> port <PORT> ssh2
2026-07-14 01:51:23,server1,sshd,1144,Failed password for guest from 203.0.113.212 port 56543 ssh2,Jul 14 01:51:23 server1 sshd[1144]: Failed password for guest from 203.0.113.212 port 56543 ssh2,guest,203.0.113.212,Failed password for guest from <IP> port <PORT> ssh2
2026-07-14 01:51:26,server1,sshd,1153,Failed password for support from 203.0.113.212 port 52266 ssh2,Jul 14 01:51:26 server1 sshd[1153]: Failed password for support from 203.0.113.212 port 52266 ssh2,support,203.0.113.212,Failed password for support from <IP> port <PORT> ssh2
2026-07-14 02:02:00,server1,systemd,1,Starting Cleanup of Temporary Directories...,Jul 14 02:02:00 server1 systemd[1]: Starting Cleanup of Temporary Directories...,unknown,,Starting Cleanup of Temporary Directories...
2026-07-14 02:14:00,server1,sshd,1002,Failed password for alice from 172.16.5.191 port 54506 ssh2,Jul 14 02:14:00 server1 sshd[1002]: Failed password for alice from 172.16.5.191 port 54506 ssh2,alice,172.16.5.191,Failed password for alice from <IP> port <PORT> ssh2
2026-07-14 02:14:01,server1,sshd,1009,Failed password for alice from 172.16.5.191 port 54506 ssh2,Jul 14 02:14:01 server1 sshd[1009]: Failed password for alice from 172.16.5.191 port 54506 ssh2,alice,172.16.5.191,Failed password for alice from <IP> port <PORT> ssh2
2026-07-14 02:14:02,server1,sshd,1010,Failed password for alice from 172.16.5.191 port 54506 ssh2,Jul 14 02:14:02 server1 sshd[1010]: Failed password for alice from 172.16.5.191 port 54506 ssh2,alice,172.16.5.191,Failed password for alice from <IP> port <PORT> ssh2
2026-07-14 02:14:03,server1,sshd,1014,Accepted password for alice from 172.16.5.191 port 54506 ssh2,Jul 14 02:14:03 server1 sshd[1014]: Accepted password for alice from 172.16.5.191 port 54506 ssh2,alice,172.16.5.191,Accepted password for alice from <IP> port <PORT> ssh2
2026-07-14 02:14:25,server1,sudo,1023,user=alice : COMMAND=/bin/su root,Jul 14 02:14:25 server1 sudo[1023]: user=alice : COMMAND=/bin/su root,alice,,user=alice : COMMAND=/bin/su root
2026-07-14 02:15:23,server1,usermod,1024,user=alice added new user 'backdoor01' to group sudo,Jul 14 02:15:23 server1 usermod[1024]: user=alice added new user 'backdoor01' to group sudo,alice,,user=alice added new user 'backdoor01' to group sudo
2026-07-14 02:23:00,server1,CRON,2779,(root) CMD (/usr/local/bin/backup-nightly.sh),Jul 14 02:23:00 server1 CRON[2779]: (root) CMD (/usr/local/bin/backup-nightly.sh),unknown,,(root) CMD (/usr/local/bin/backup-nightly.sh)
2026-07-14 02:40:00,server1,sshd,1160,Failed password for alice from 172.16.5.222 port 51796 ssh2,Jul 14 02:40:00 server1 sshd[1160]: Failed password for alice from 172.16.5.222 port 51796 ssh2,alice,172.16.5.222,Failed password for alice from <IP> port <PORT> ssh2
2026-07-14 02:40:01,server1,sshd,1167,Failed password for alice from 172.16.5.222 port 51796 ssh2,Jul 14 02:40:01 server1 sshd[1167]: Failed password for alice from 172.16.5.222 port 51796 ssh2,alice,172.16.5.222,Failed password for alice from <IP> port <PORT> ssh2
2026-07-14 02:40:05,server1,sshd,1175,Failed password for alice from 172.16.5.222 port 51796 ssh2,Jul 14 02:40:05 server1 sshd[1175]: Failed password for alice from 172.16.5.222 port 51796 ssh2,alice,172.16.5.222,Failed password for alice from <IP> port <PORT> ssh2
2026-07-14 02:40:08,server1,sshd,1184,Accepted password for alice from 172.16.5.222 port 51796 ssh2,Jul 14 02:40:08 server1 sshd[1184]: Accepted password for alice from 172.16.5.222 port 51796 ssh2,alice,172.16.5.222,Accepted password for alice from <IP> port <PORT> ssh2
2026-07-14 02:40:50,server1,sudo,1185,user=alice : COMMAND=/bin/su root,Jul 14 02:40:50 server1 sudo[1185]: user=alice : COMMAND=/bin/su root,alice,,user=alice : COMMAND=/bin/su root
2026-07-14 02:41:17,server1,usermod,1194,user=alice added new user 'backdoor03' to group sudo,Jul 14 02:41:17 server1 usermod[1194]: user=alice added new user 'backdoor03' to group sudo,alice,,user=alice added new user 'backdoor03' to group sudo
2026-07-14 03:00:00,server1,CRON,2934,(root) CMD (run-parts /etc/cron.hourly),Jul 14 03:00:00 server1 CRON[2934]: (root) CMD (run-parts /etc/cron.hourly),unknown,,(root) CMD (run-parts /etc/cron.hourly)
2026-07-14 03:03:00,server1,CRON,1288,(root) CMD (/usr/local/bin/backup-nightly.sh),Jul 14 03:03:00 server1 CRON[1288]: (root) CMD (/usr/local/bin/backup-nightly.sh),unknown,,(root) CMD (/usr/local/bin/backup-nightly.sh)
2026-07-14 03:04:00,server1,CRON,1324,(root) CMD (/usr/local/bin/backup-nightly.sh),Jul 14 03:04:00 server1 CRON[1324]: (root) CMD (/usr/local/bin/backup-nightly.sh),unknown,,(root) CMD (/usr/local/bin/backup-nightly.sh)
2026-07-14 03:15:00,server1,CRON,1275,(root) CMD (run-parts /etc/cron.hourly),Jul 14 03:15:00 server1 CRON[1275]: (root) CMD (run-parts /etc/cron.hourly),unknown,,(root) CMD (run-parts /etc/cron.hourly)
2026-07-14 04:11:00,server1,CRON,2877,(root) CMD (run-parts /etc/cron.hourly),Jul 14 04:11:00 server1 CRON[2877]: (root) CMD (run-parts /etc/cron.hourly),unknown,,(root) CMD (run-parts /etc/cron.hourly)
2026-07-14 04:53:00,server1,systemd,1,Started Session 91 of user alice.,Jul 14 04:53:00 server1 systemd[1]: Started Session 91 of user alice.,alice,,Started Session <NUM> of user alice.
2026-07-14 05:08:00,server1,CRON,1923,(root) CMD (/usr/lib/php/sessionclean),Jul 14 05:08:00 server1 CRON[1923]: (root) CMD (/usr/lib/php/sessionclean),unknown,,(root) CMD (/usr/lib/php/sessionclean)
2026-07-14 05:41:00,server1,systemd,1,Starting Daily apt upgrade and clean activities...,Jul 14 05:41:00 server1 systemd[1]: Starting Daily apt upgrade and clean activities...,unknown,,Starting Daily apt upgrade and clean activities...
2026-07-14 06:30:00,server1,systemd,1,Starting Daily apt upgrade and clean activities...,Jul 14 06:30:00 server1 systemd[1]: Starting Daily apt upgrade and clean activities...,unknown,,Starting Daily apt upgrade and clean activities...
2026-07-14 06:33:00,server1,systemd,1,Started Session 38 of user dave.,Jul 14 06:33:00 server1 systemd[1]: Started Session 38 of user dave.,dave,,Started Session <NUM> of user dave.
2026-07-14 06:53:00,server1,systemd,1,Starting Daily apt upgrade and clean activities...,Jul 14 06:53:00 server1 systemd[1]: Starting Daily apt upgrade and clean activities...,unknown,,Starting Daily apt upgrade and clean activities...
2026-07-14 07:03:23,server1,sshd,1959,Accepted password for dave from 10.0.3.214 port 54703 ssh2,Jul 14 07:03:23 server1 sshd[1959]: Accepted password for dave from 10.0.3.214 port 54703 ssh2,dave,10.0.3.214,Accepted password for dave from <IP> port <PORT> ssh2
2026-07-14 07:03:24,server1,sshd,1959,pam_unix(sshd:session): session opened for user dave by (uid=0),Jul 14 07:03:24 server1 sshd[1959]: pam_unix(sshd:session): session opened for user dave by (uid=0),dave,,pam_unix(sshd:session): session opened for user dave by (uid=<NUM>)
2026-07-14 07:07:59,server1,sshd,2776,Accepted password for dave from 10.0.3.221 port 52588 ssh2,Jul 14 07:07:59 server1 sshd[2776]: Accepted password for dave from 10.0.3.221 port 52588 ssh2,dave,10.0.3.221,Accepted password for dave from <IP> port <PORT> ssh2
2026-07-14 07:08:00,server1,sshd,2776,pam_unix(sshd:session): session opened for user dave by (uid=0),Jul 14 07:08:00 server1 sshd[2776]: pam_unix(sshd:session): session opened for user dave by (uid=0),dave,,pam_unix(sshd:session): session opened for user dave by (uid=<NUM>)
2026-07-14 07:13:00,server1,CRON,2724,(root) CMD (/usr/local/bin/backup-nightly.sh),Jul 14 07:13:00 server1 CRON[2724]: (root) CMD (/usr/local/bin/backup-nightly.sh),unknown,,(root) CMD (/usr/local/bin/backup-nightly.sh)
2026-07-14 07:16:13,server1,sshd,2842,Accepted password for alice from 10.0.0.12 port 50990 ssh2,Jul 14 07:16:13 server1 sshd[2842]: Accepted password for alice from 10.0.0.12 port 50990 ssh2,alice,10.0.0.12,Accepted password for alice from <IP> port <PORT> ssh2
2026-07-14 07:16:14,server1,sshd,2842,pam_unix(sshd:session): session opened for user alice by (uid=0),Jul 14 07:16:14 server1 sshd[2842]: pam_unix(sshd:session): session opened for user alice by (uid=0),alice,,pam_unix(sshd:session): session opened for user alice by (uid=<NUM>)
2026-07-14 07:17:55,server1,sshd,2743,Accepted password for dave from 10.0.3.169 port 52078 ssh2,Jul 14 07:17:55 server1 sshd[2743]: Accepted password for dave from 10.0.3.169 port 52078 ssh2,dave,10.0.3.169,Accepted password for dave from <IP> port <PORT> ssh2
2026-07-14 07:17:56,server1,sshd,2743,pam_unix(sshd:session): session opened for user dave by (uid=0),Jul 14 07:17:56 server1 sshd[2743]: pam_unix(sshd:session): session opened for user dave by (uid=0),dave,,pam_unix(sshd:session): session opened for user dave by (uid=<NUM>)
2026-07-14 07:25:04,server1,sshd,2884,Accepted password for admin from 10.0.10.226 port 57620 ssh2,Jul 14 07:25:04 server1 sshd[2884]: Accepted password for admin from 10.0.10.226 port 57620 ssh2,admin,10.0.10.226,Accepted password for admin from <IP> port <PORT> ssh2
2026-07-14 07:25:05,server1,sshd,2884,pam_unix(sshd:session): session opened for user admin by (uid=0),Jul 14 07:25:05 server1 sshd[2884]: pam_unix(sshd:session): session opened for user admin by (uid=0),admin,,pam_unix(sshd:session): session opened for user admin by (uid=<NUM>)
2026-07-14 07:44:00,server1,systemd,1,Started Session 31 of user dave.,Jul 14 07:44:00 server1 systemd[1]: Started Session 31 of user dave.,dave,,Started Session <NUM> of user dave.
2026-07-14 07:51:00,server1,systemd,1,Starting Cleanup of Temporary Directories...,Jul 14 07:51:00 server1 systemd[1]: Starting Cleanup of Temporary Directories...,unknown,,Starting Cleanup of Temporary Directories...
2026-07-14 07:53:00,server1,sshd,2405,Failed password for alice from 10.0.0.142 port 64792 ssh2,Jul 14 07:53:00 server1 sshd[2405]: Failed password for alice from 10.0.0.142 port 64792 ssh2,alice,10.0.0.142,Failed password for alice from <IP> port <PORT> ssh2
2026-07-14 08:08:17,server1,sshd,1843,Accepted password for bob from 10.0.1.161 port 60372 ssh2,Jul 14 08:08:17 server1 sshd[1843]: Accepted password for bob from 10.0.1.161 port 60372 ssh2,bob,10.0.1.161,Accepted password for bob from <IP> port <PORT> ssh2
2026-07-14 08:08:18,server1,sshd,1843,pam_unix(sshd:session): session opened for user bob by (uid=0),Jul 14 08:08:18 server1 sshd[1843]: pam_unix(sshd:session): session opened for user bob by (uid=0),bob,,pam_unix(sshd:session): session opened for user bob by (uid=<NUM>)
